Empresa,Estado,Descripcion
CRIBAS Y SEMILLAS LA ESPERANZA SA DE CV,Guamuchil - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
CREMERIA SELLO ROJO,Colima - Mexico,"Comercio al por mayor de embutidos
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
DESARROLLOS SOLARES ARANDAS SA DE CV,Arandas - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
EL HORNO DEL ALCAZAR,Ensenada - Mexico,"Panificacion industrial
Proveedor de:
Alimentacion
Productos de panaderia congelados rapidamente
Postres y reposteria, congelados y ultracongelados..."
EL HOLOCH,Campeche - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
COMERCIAL DE SERVICIOS AGROPECUARIOS RA SA DE CV,Torreon - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
CRISTOBAL MAYORGA GARCIA RULFO,Zapopan - Mexico,"Elaboracion de harina de otros productos agricolas
Proveedor de:
Otras harinas que no son de cereales
Alimentacion"
BOLDY,Morelia - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
DISTRIBUIDORA KIA,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
CARNES DE LA GARZA,Cadereyta jimenez - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
CARLOS REY DAVID VENEGAS GUZMAN,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
CRI CRI,Pachuca de soto - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
DESAZOLVES GARCIA,Xalapa enriquez - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
DISENOS AROMATICOS SA DE CV,Ciudad adolfo lopez mateos - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
CORPORATIVA ELECTRONICA DE PUEBLA SA DE CV,Puebla (heroica puebla) - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
ALGUIN BARROSO E HIJOS SA DE CV,San andres cholula - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
DISTRIBUIDORA Y COMERCIALIZADORA ORIENTAL,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de vinos y licores
Proveedor de:
Bebidas
Vino
Alimentos, bebidas y tabaco (al por mayor)..."
ARQUITECTURA Y DECORACION EN AGUA SOLIDA SA DE CV,Tlalnepantla de baz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
TECNOLOGIA Y CONSTRUCCION SA DE CV,Toluca de lerdo - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
ARQUITECTURA MONUMENTAL SA DE CV,Oaxaca (oaxaca de juarez) - Mexico,"Servicios de arquitectura de paisaje y urbanismo
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas
Disenadores de jardines, jardineros..."
AG,Tuxtla gutierrez - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
JAMONCILLOS ELVIRITA,Puebla (heroica puebla) - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
HOBBISSIMO,Queretaro - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
ALIMENTOS Y CARNES CIENEGA SA DE CV,Cienega de flores - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
JUANGORENA BERNAL GILBERTO,San nicolas de los garza - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
JARABES EL MANANTIAL SA DE CV,Ecatepec de morelos - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
JARABES DE TEPATITLAN SA DE CV,Tepatitlan de morelos - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
JUANITO FOODS SA DE CV,Zapopan - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
INGENIERIA Y ARQUITECTURA APLICADA CENTRO PUEBLA SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
ARQUITECTURA E INGENIERIA AIJP SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
AC+JC ARQUITECTURA Y CONSTRUCCION SA DE CV,Cordoba - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
GUMOSA,Saltillo - Mexico,"Comercio al por mayor de dulces y materias primas para reposteria
Proveedor de:
Confiteria
Alimentacion
Alimentos, bebidas y tabaco (al por mayor)..."
INTEGRADORA DE INSUMOS DEL NORESTE SA DE CV,Monterrey - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
INTERMEX MANUFACTURA SA DE CV,Ciudad juarez - Mexico,"Fabricacion de enseres electrodomesticos menores
Proveedor de:
Higiene y limpieza
Aparatos sanitarios, electricos
Aspiradoras..."
INGENIERIA MEXICANA DEL CENTRO IMJP SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
INGENIERIA MECANICA DE PUEBLA SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
HYGIEIA COMPANY SA DE CV,Naucalpan de juarez - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
GUS,Puebla (heroica puebla) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
GURAMI,Villahermosa - Mexico,"Elaboracion de refrescos y otras bebidas no alcoholicas
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Gaseosas en lata..."
INTEGRADORA ESTATAL DE PRODUCTORES DE CHIH SA DE CV,Chihuahua - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
INGENIERIA INTEGRAL JOGAM SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
JUAN MANUEL GARCIA GONZALEZ,Tepatitlan de morelos - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
LA CASA DEL PASTEL SA DE CV,Puebla (heroica puebla) - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
LA CASA DEL PANADERO 2008 SA DE CV,San luis potosi - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
LE BLE PANIFICADORA SA DE CV,Veracruz - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
LA CASA DEL GRANJERO,San martin texmelucan de labastida - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
INSECTA DEL PACIFICO SA DE CV,Escuinapa - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
JYM INGENIEROS SA DE CV,Tlalnepantla de baz - Mexico,"Servicios de instalacion y mantenimiento de areas verdes
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas"
INTERIAL PROVEEDORA DE CARNES SA DE CV,Saltillo - Mexico,"Comercio al por mayor de carnes rojas
Proveedor de:
Alimentacion
Productos de matadero, no procesados
Procesado de carne y carne de caza..."
DISTMAR S DE RL DE CV,Ciudad juarez - Mexico,"Comercio al por mayor de pescados y mariscos
Proveedor de:
Ganaderia y pesca
Peces marinos
Peces de agua dulce..."
DESTILERIA MORALES SA DE CV,Arandas - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
CORPORATIVO EN INGENIERIA JIE SA DE CV,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
DESTILADORA DE LOS ALTOS SA DE CV,Arandas - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
DESTILERIA LEYROS SA DE CV,Tequila - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
DESTILADORA RUBIO SA DE CV,Tequila - Mexico,"Elaboracion de refrescos y otras bebidas no alcoholicas
Proveedor de:
Limonada, gaseosas y bebidas sin alcohol
Bebidas
Gaseosas en lata..."
DESTILADORA GONZALEZ GONZALEZ SA DE CV,Guadalajara - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
CONSORCIO VETERINARIO DE OCCIDENTE SA DE CV,Zapopan - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
LAYAR SA DE CV,Puebla (heroica puebla) - Mexico,"Preparacion de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Procesado de carne y carne de caza"
JUNNOVA WATERCOURSE SA DE CV,Puebla (heroica puebla) - Mexico,"Purificacion y embotellado de agua
Proveedor de:
Bebidas
Aguas y aguas minerales"
SALSAS PICANTES EL DIABLITO,Autlan de navarro - Mexico,"Elaboracion de condimentos y aderezos
Proveedor de:
Alimentacion
Vinagre y salsas vinagretas
Condimentos y salsas"
SALSA INDIA BRAVA,Navojoa - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
EROAN SA DE CV,Guamuchil - Mexico,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos
Proveedor de:
Agricultura y silvicultura
Semillas comestibles
Alimentacion..."
DO? SALUD SA DE CV,Uruapan - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
FARMACIA VETERINARIA PULGAS ROTAS,Veracruz - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
FARMACIA VETERINARIA SAN PEDRO,Jerecuaro - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
FABRICA DE AGUARDIENTES DE AGAVELA MEXICANA SA DE CV,Arandas - Mexico,"Elaboracion de bebidas destiladas de agave
Proveedor de:
Tequila
Aguardientes y bebidas espiritosas
Bebidas"
FARMACIA VETERINARIA PIOLIN,La cruz - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
TREEMEN,Chihuahua - Mexico,"Servicios de instalacion y mantenimiento de areas verdes
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas"
DISTIBUIDORA 2010 SA DE CV,Ciudad guzman - Mexico,"Comercio al por mayor de bebidas no alcoholicas y hielo
Proveedor de:
Bebidas
Zumos de frutas
Limonada, gaseosas y bebidas sin alcohol..."
PRODUCTOS MOKA,Tampico - Mexico,"Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
Proveedor de:
Concentrados para gaseosas
Bebidas
Limonada, gaseosas y bebidas sin alcohol..."
PHYTOMONITOR SA DE CV,Culiacan - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
DEL MONTE GRUPO COMERCIAL,Uruapan - Mexico,"Beneficio de productos agricolas
Proveedor de:
Agricultura y silvicultura
Servicios de conservacion y envasado de productos agricolas
Servicios de tratamientos de productos agricolas"
CORPORATIVO ECOTERA DE MEXICO SA DE CV,Veracruz - Mexico,"Servicios de instalacion y mantenimiento de areas verdes
Proveedor de:
Agricultura y silvicultura
Servicios paisajistas"
DISTRIBUCIONES CENTENO SA DE CV,Tlaquepaque - Mexico,"Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
Proveedor de:
Confiteria
Alimentacion"
DESPEPITADORA EL VENADO SA DE CV,Mexicali - Mexico,"Otros servicios relacionados con la agricultura
Proveedor de:
Agricultura y silvicultura
Servicios de agricultura y horticultura"
CROQUETAS SNOOPY,Gomez palacio - Mexico,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas
Proveedor de:
Alimentacion
Piensos y alimentos para animales
Preparaciones farmaceuticas para veterinaria..."
FARMACIA Y CLINICA VETERINARIA DE LA 9,Puebla (heroica puebla) - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
DISTRIBUCION TRIGO LIMPIO,Chihuahua - Mexico,"Elaboracion de harina de otros productos agricolas
Proveedor de:
Otras harinas que no son de cereales
Alimentacion"
CROMA SERVICIOS,Aguascalientes - Mexico,"Reparacion y mantenimiento de aparatos electricos para el hogar y personales
Proveedor de:
Equipos electricos. Equipos nucleares
Instalacion, mantenimiento y reparacion de aparatos electrodomesticos
Contratistas para la industria electrica..."
PILAR EUGENIA RODRIGUEZ CASO,Puebla (heroica puebla) - Mexico,"Fabricacion de maquinaria y equipo para la construccion
Proveedor de:
Maquinaria y equipos para agricultura y silvicultura
Maquinaria y equipos para silvicultura
Maquinaria y equipos de construccion para la ingenieria civil..."
PRODUCTOS PUENTE SA DE CV,Ciudad de mexico - Mexico,"Elaboracion de aceites y grasas vegetales comestibles
Proveedor de:
Aceites comestibles
Alimentacion
Grasas comestibles"
PRODUCTOS PECUARIOS LA TRINIDAD SA DE CV,Aguascalientes - Mexico,"Preparacion de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles
Proveedor de:
Salchichas, embutidos y salchichones
Alimentacion
Procesado de carne y carne de caza"
LA DIVINATA SA DE CV,San pedro garza garcia - Mexico,"Comercio al por mayor de pan y pasteles
Proveedor de:
Alimentacion
Pasteles y tartas
Pan..."
VETERINARIA ANIMALIUX,Metepec - Mexico,"Servicios veterinarios para mascotas prestados por el sector privado
Proveedor de:
Ganaderia y pesca
Veterinarios especializados en el servicio de mascotas domesticas"
